last_name,first_name,type,state,party,twitter,govtrack_id,position
Meeks,Gregory,rep,NY,Democrat,GregoryMeeks,400271,a
Mica,John,rep,FL,Republican,,400273,a
Mikulski,Barbara,sen,MD,Democrat,SenatorBarb,300073,f
Miller,Candice,rep,MI,Republican,CandiceMiller,400276,a
Miller,Jeff,rep,FL,Republican,,400279,f
Moore,Gwen,rep,WI,Democrat,RepGwenMoore,400661,a
Moran,Jerry,sen,KS,Republican,JerryMoran,400284,f
Mulvaney,Mick,rep,SC,Republican,RepMickMulvaney,412474,f
Murkowski,Lisa,sen,AK,Republican,LisaMurkowski,300075,f
Murphy,Christopher,sen,CT,Democrat,ChrisMurphyCT,412194,f
Murphy,Tim,rep,PA,Republican,RepTimMurphy,400285,f
Murray,Patty,sen,WA,Democrat,PattyMurray,300076,f
Nadler,Jerrold,rep,NY,Democrat,RepJerryNadler,400289,f
Napolitano,Grace,rep,CA,Democrat,GraceNapolitano,400290,f
Neal,Richard,rep,MA,Democrat,RepRichardNeal,400291,f
Neugebauer,Randy,rep,TX,Republican,RandyNeugebauer,400441,a
Noem,Kristi,rep,SD,Republican,RepKristiNoem,412475,a
Norton,Eleanor,rep,DC,Democrat,EleanorNorton,400295,a
Nugent,Richard,rep,FL,Republican,RepRichNugent,412409,a
Nunes,Devin,rep,CA,Republican,Rep_DevinNunes,400297,a
Olson,Pete,rep,TX,Republican,OlsonPressShop,412302,a
Palazzo,Steven,rep,MS,Republican,CongPalazzo,412443,f
Pallone,Frank,rep,NJ,Democrat,FrankPallone,400308,f
Pascrell,Bill,rep,NJ,Democrat,BillPascrell,400309,f
Paul,Rand,sen,KY,Republican,SenRandPaul,412492,f
Paulsen,Erik,rep,MN,Republican,RepErikPaulsen,412303,f
Pearce,Stevan,rep,NM,Republican,RepStevePearce,400313,f
Pelosi,Nancy,rep,CA,Democrat,NancyPelosi,400314,a
Perlmutter,Ed,rep,CO,Democrat,RepPerlmutter,412192,a
Peters,Gary,sen,MI,Democrat,SenGaryPeters,412305,a
Peterson,Collin,rep,MN,Democrat,,400316,a
Pierluisi,Pedro,rep,PR,Democrat,PedroPierluisi,412306,a
Pingree,Chellie,rep,ME,Democrat,ChelliePingree,412307,a
Pitts,Joseph,rep,PA,Republican,RepJoePitts,400320,f
Poe,Ted,rep,TX,Republican,JudgeTedPoe,400652,a
Polis,Jared,rep,CO,Democrat,JaredPolis,412308,f
Pompeo,Mike,rep,KS,Republican,RepMikePompeo,412431,a
Portman,Robert,sen,OH,Republican,SenRobPortman,400325,f
Posey,Bill,rep,FL,Republican,CongBillPosey,412309,a
Price,David,rep,NC,Democrat,RepDavidEPrice,400326,a
Price,Tom,rep,GA,Republican,RepTomPrice,400626,a
Quigley,Mike,rep,IL,Democrat,RepMikeQuigley,412331,f
Rangel,Charles,rep,NY,Democrat,CBRangel,400333,f
Reed,Tom,rep,NY,Republican,RepTomReed,412393,f
Reichert,David,rep,WA,Republican,DaveReichert,400660,f
Reid,Harry,sen,NV,Democrat,SenatorReid,300082,f
Renacci,James,rep,OH,Republican,RepJimRenacci,412462,a
Ribble,Reid,rep,WI,Republican,RepRibble,412489,a
Richmond,Cedric,rep,LA,Democrat,RepRichmond,412432,f
Rigell,Edward,rep,VA,Republican,RepScottRigell,412483,a
Roby,Martha,rep,AL,Republican,RepMarthaRoby,412394,f
Roe,David,rep,TN,Republican,DrPhilRoe,412310,a
Rogers,Harold,rep,KY,Republican,RepHalRogers,400340,f
Rogers,Mike,rep,AL,Republican,RepMikeRogersAL,400341,f
Rohrabacher,Dana,rep,CA,Republican,,400343,f
Rokita,Todd,rep,IN,Republican,ToddRokita,412426,f
Rooney,Thomas,rep,FL,Republican,TomRooney,412311,f
Ros-Lehtinen,Ileana,rep,FL,Republican,RosLehtinen,400344,f
Roskam,Peter,rep,IL,Republican,PeterRoskam,412202,f
Ross,Dennis,rep,FL,Republican,RepDennisRoss,412411,f
Roybal-Allard,Lucille,rep,CA,Democrat,RepRoybalAllard,400347,f
Royce,Edward,rep,CA,Republican,RepEdRoyce,400348,a
Rubio,Marco,sen,FL,Republican,SenRubioPress,412491,a
Ruppersberger,C.,rep,MD,Democrat,Call_Me_Dutch,400349,a
Rush,Bobby,rep,IL,Democrat,RepBobbyRush,400350,a
Ryan,Paul,rep,WI,Republican,RepPaulRyan,400351,a
Ryan,Tim,rep,OH,Democrat,RepTimRyan,400352,a
Sablan,Gregorio,rep,MP,Independent,,412312,f
Sanchez,Loretta,rep,CA,Democrat,LorettaSanchez,400356,f
Sarbanes,John,rep,MD,Democrat,RepSarbanes,412212,f
Scalise,Steve,rep,LA,Republican,SteveScalise,412261,f
Schakowsky,Janice,rep,IL,Democrat,JanSchakowsky,400360,f
Schiff,Adam,rep,CA,Democrat,RepAdamSchiff,400361,f
Schrader,Kurt,rep,OR,Democrat,RepSchrader,412315,a
Schumer,Charles,sen,NY,Democrat,SenSchumer,300087,a
Schweikert,David,rep,AZ,Republican,RepDavid,412399,a
Scott,Austin,rep,GA,Republican,AustinScottGA08,412417,a
Scott,David,rep,GA,Democrat,RepDavidScott,400363,a
Scott,Robert,rep,VA,Democrat,RepBobbyScott,400364,a
Scott,Tim,sen,SC,Republican,SenatorTimScott,412471,f
Sensenbrenner,F.,rep,WI,Republican,JimPressOffice,400365,a
Serrano,José,rep,NY,Democrat,RepJoseSerrano,400366,f
Sessions,Pete,rep,TX,Republican,PeteSessions,400367,a
Sewell,Terri,rep,AL,Democrat,RepTerriSewell,412396,f
Shelby,Richard,sen,AL,Republican,SenShelby,300089,a
Sherman,Brad,rep,CA,Democrat,BradSherman,400371,a
Shimkus,John,rep,IL,Republican,RepShimkus,400373,a
Shuster,Bill,rep,PA,Republican,RepBillShuster,409888,f
Simpson,Michael,rep,ID,Republican,CongMikeSimpson,400376,f
Sires,Albio,rep,NJ,Democrat,Rep_Albio_Sires,412186,f
Slaughter,Louise,rep,NY,Democrat,LouiseSlaughter,400378,f
Smith,Adam,rep,WA,Democrat,RepAdamSmith,400379,f
Smith,Adrian,rep,NE,Republican,RepAdrianSmith,412217,a
Smith,Christopher,rep,NJ,Republican,RepChrisSmith,400380,a
Smith,Lamar,rep,TX,Republican,LamarSmithTX21,400381,f
Speier,Jackie,rep,CA,Democrat,RepSpeier,412259,a
Stivers,Steve,rep,OH,Republican,RepSteveStivers,412461,f
Stutzman,Marlin,rep,IN,Republican,RepStutzman,412392,a
Sánchez,Linda,rep,CA,Democrat,RepLindaSanchez,400355,f
Thompson,Bennie,rep,MS,Democrat,BennieGThompson,400402,f
Thompson,Mike,rep,CA,Democrat,RepThompson,400403,f
Thompson,Glenn,rep,PA,Republican,CongressmanGT,412317,f
Thornberry,Mac,rep,TX,Republican,MacTXPress,400404,f
Thune,John,sen,SD,Republican,SenJohnThune,400546,f
Tiberi,Patrick,rep,OH,Republican,TiberiPress,400406,f
Tipton,Scott,rep,CO,Republican,RepTipton,412405,f
Tonko,Paul,rep,NY,Democrat,RepPaulTonko,412319,f
Toomey,Patrick,sen,PA,Republican,SenToomey,400408,a
Tsongas,Niki,rep,MA,Democrat,NikiInTheHouse,412254,a
Turner,Michael,rep,OH,Republican,RepMikeTurner,400411,a
Upton,Fred,rep,MI,Republican,RepFredUpton,400414,a
Van Hollen,Chris,rep,MD,Democrat,ChrisVanHollen,400415,a
Velázquez,Nydia,rep,NY,Democrat,NydiaVelazquez,400416,a
Visclosky,Peter,rep,IN,Democrat,RepVisclosky,400417,f
Vitter,David,sen,LA,Republican,,400418,f
Walberg,Tim,rep,MI,Republican,RepWalberg,412213,f
Walden,Greg,rep,OR,Republican,RepGregWalden,400419,f
Walz,Timothy,rep,MN,Democrat,RepTimWalz,412214,f
Wasserman Schultz,Debbie,rep,FL,Democrat,RepDWStweets,400623,f
Waters,Maxine,rep,CA,Democrat,MaxineWaters,400422,a
Webster,Daniel,rep,FL,Republican,RepWebster,412410,a
Welch,Peter,rep,VT,Democrat,PeterWelch,412239,a
Westmoreland,Lynn,rep,GA,Republican,RepWestmoreland,400627,a
