"lat","lng","nfollow","is_rt","nsec"
39.759997789,-98.499998911,869,1,16000
19.141481,-103.913858,93,0,16000
51.04522,-114.063017,124,1,16000
19.141481,-103.913858,93,0,16000
36.635409,-81.791031,236,0,16000
38.9071923,-77.0368707,239,0,16000
17.989456,-92.9475061,62,0,17000
43.073926,-89.385244,902,1,17000
35.410394,-80.84286,478,1,17000
7.999998739,-65.999995542,5119,1,17000
33.981123,-118.4298,495,0,17000
19.43253,-99.13321,1005,1,17000
39.9479088,-75.2233004,278,1,17000
19.141481,-103.913858,97,0,17000
19.141481,-103.913858,97,0,17000
25.2048493,55.2707828,19938,0,17000
19.431949,-99.133125,642,1,17000
33.7490987,-84.3901849,7862,0,17000
38.9071923,-77.0368707,973,0,17000
52.373085,4.893276,895,1,17000
10.501823,-66.912105,1354,1,18000
6.15,-75.6,269,0,18000
40.713054,-74.007228,133,1,18000
7.999998739,-65.999995542,4613,0,18000
40.9312099,-73.8987469,89,1,18000
45.776579,1.459826,52,1,18000
18.735693,-70.162651,1325,0,18000
-34.613149508,-58.377226623,4426,1,18000
39.4699075,-0.3762881,42,1,18000
10.495368,-66.848877,122,1,18000
40.463667,-3.74922,139,0,18000
10.505134,-66.827907,6337,1,18000
-1.455826482,-48.504436911,1008,1,18000
40.463667,-3.74922,550,1,18000
36.834047,-2.4637136,68,1,18000
24.960985,-80.587661,189,1,18000
35.7595731,-79.0192997,4835,0,18000
-35.288689,-71.231911,729,1,18000
7.999998739,-65.999995542,4613,0,18000
10.456389,-64.1675,754,1,19000
