State,County,Obama,Romney,obama_rate,romney_rate
CT,Bethlehem,1272,894,58.7,41.3
CT,Bloomfield,1925,9917,16.3,83.7
CT,Bolton,1434,1433,50.0,50.0
CT,Bozrah,606,648,48.3,51.7
CT,Branford,5817,8301,41.2,58.8
CT,Bridgeport,5168,32135,13.9,86.1
CT,Bridgewater,641,529,54.8,45.2
CT,Bristol,10548,13283,44.3,55.7
CT,Brookfield,4941,3916,55.8,44.2
CT,Brooklyn,1570,1743,47.4,52.6
CT,Burlington,2683,2357,53.2,46.8
CT,Canaan,210,384,35.4,64.6
CT,Canterbury,1294,1197,51.9,48.1
CT,Canton,2742,2967,48.0,52.0
CT,Chaplin,466,584,44.4,55.6
CT,Cheshire,7271,7355,49.7,50.3
CT,Chester,707,1380,33.9,66.1
CT,Clinton,2926,3607,44.8,55.2
CT,Colchester,3579,4125,46.5,53.5
CT,Colebrook,462,380,54.9,45.1
CT,Columbia,1316,1714,43.4,56.6
CT,Cornwall,250,629,28.4,71.6
CT,Coventry,2621,3538,42.6,57.4
CT,Cromwell,3193,4063,44.0,56.0
CT,Danbury,10590,15290,40.9,59.1
CT,Darien,6220,3182,66.2,33.8
CT,Deep River,932,1479,38.7,61.3
CT,Derby,2032,2597,43.9,56.1
CT,Durham,1985,2013,49.6,50.4
CT,Eastford,465,464,50.1,49.9
CT,East Granby,1448,1389,51.0,49.0
CT,East Haddam,2109,2471,46.0,54.0
CT,East Hampton,3138,3509,47.2,52.8
CT,East Hartford,4272,13000,24.7,75.3
CT,East Haven,4650,6533,41.6,58.4
CT,East Lyme,3450,4808,41.8,58.2
CT,Easton,2380,1841,56.4,43.6
CT,East Windsor,2250,3072,42.3,57.7
CT,Ellington,3894,3598,52.0,48.0
CT,Enfield,7703,10145,43.2,56.8
CT,Essex,1701,2230,43.3,56.7
CT,Fairfield,14352,15282,48.4,51.6
CT,Farmington,6610,7012,48.5,51.5
CT,Franklin,516,519,49.9,50.1
CT,Glastonbury,8809,10135,46.5,53.5
CT,Goshen,1017,749,57.6,42.4
CT,Granby,3221,3079,51.1,48.9
CT,Greenwich,14368,11137,56.3,43.7
CT,Griswold,2166,2581,45.6,54.4
CT,Groton,5367,8384,39.0,61.0
CT,Guilford,5170,7411,41.1,58.9
CT,Haddam,2230,2346,48.7,51.3
CT,Hamden,7482,19181,28.1,71.9
CT,Hampton,413,601,40.7,59.3
CT,Hartford,2138,31735,6.3,93.7
CT,Hartland,778,414,65.3,34.7
CT,Harwinton,1924,1260,60.4,39.6
CT,Hebron,2471,2606,48.7,51.3
CT,Kent,606,1080,35.9,64.1
