type,coordinates,location_displayname,City,State,posted_time ,epoch_time
Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/17/14 3:26 AM,1418786780
Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/17/14 7:08 AM,1418800097
Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/17/14 2:21 PM,1418826087
Polygon,"-78.762082, 42.146853; -78.762082, 42.174409; -78.6832, 42.174409; -78.6832, 42.146853","Salamanca, NY",Salamanca, NY,12/17/14 5:25 AM,1418793947
Polygon,"-98.778559, 29.141956; -98.778559, 29.693046; -98.302744, 29.693046; -98.302744, 29.141956","San Antonio, TX",San Antonio, TX,12/17/14 3:11 PM,1418829092
Polygon,"-117.282538, 32.53962; -117.282538, 33.0804044; -116.9274403, 33.0804044; -116.9274403, 32.53962","San Diego, CA",San Diego, CA,12/16/14 5:52 AM,1418709166
Polygon,"-117.282538, 32.53962; -117.282538, 33.0804044; -116.9274403, 33.0804044; -116.9274403, 32.53962","San Diego, CA",San Diego, CA,12/16/14 5:18 PM,1418750311
Polygon,"-117.282538, 32.53962; -117.282538, 33.0804044; -116.9274403, 33.0804044; -116.9274403, 32.53962","San Diego, CA",San Diego, CA,12/16/14 7:30 PM,1418758229
Polygon,"-117.282538, 32.53962; -117.282538, 33.0804044; -116.9274403, 33.0804044; -116.9274403, 32.53962","San Diego, CA",San Diego, CA,12/17/14 5:01 AM,1418792475
Polygon,"-117.282538, 32.53962; -117.282538, 33.0804044; -116.9274403, 33.0804044; -116.9274403, 32.53962","San Diego, CA",San Diego, CA,12/17/14 3:04 PM,1418828675
Polygon,"-117.282538, 32.53962; -117.282538, 33.0804044; -116.9274403, 33.0804044; -116.9274403, 32.53962","San Diego, CA",San Diego, CA,12/17/14 3:08 PM,1418828914
Polygon,"-122.514926, 37.708075; -122.514926, 37.833238; -122.357031, 37.833238; -122.357031, 37.708075","San Francisco, CA",San Francisco, CA,12/16/14 4:11 PM,1418746294
Polygon,"-122.514926, 37.708075; -122.514926, 37.833238; -122.357031, 37.833238; -122.357031, 37.708075","San Francisco, CA",San Francisco, CA,12/16/14 8:40 PM,1418762401
Polygon,"-122.514926, 37.708075; -122.514926, 37.833238; -122.357031, 37.833238; -122.357031, 37.708075","San Francisco, CA",San Francisco, CA,12/17/14 2:46 PM,1418827578
Polygon,"-122.514926, 37.708075; -122.514926, 37.833238; -122.357031, 37.833238; -122.357031, 37.708075","San Francisco, CA",San Francisco, CA,12/17/14 2:50 PM,1418827807
Polygon,"-122.514926, 37.708075; -122.514926, 37.833238; -122.357031, 37.833238; -122.357031, 37.708075","San Francisco, CA",San Francisco, CA,12/17/14 2:50 PM,1418827811
Polygon,"-122.514926, 37.708075; -122.514926, 37.833238; -122.357031, 37.833238; -122.357031, 37.708075","San Francisco, CA",San Francisco, CA,12/17/14 2:54 PM,1418828085
Polygon,"-122.514926, 37.708075; -122.514926, 37.833238; -122.357031, 37.833238; -122.357031, 37.708075","San Francisco, CA",San Francisco, CA,12/17/14 3:10 PM,1418829053
Polygon,"-122.035311, 37.193164; -122.035311, 37.469154; -121.71215, 37.469154; -121.71215, 37.193164","San Jose, CA",San Jose, CA,12/16/14 2:58 PM,1418741900
Polygon,"-122.035311, 37.193164; -122.035311, 37.469154; -121.71215, 37.469154; -121.71215, 37.193164","San Jose, CA",San Jose, CA,12/16/14 10:58 PM,1418770699
Polygon,"-122.035311, 37.193164; -122.035311, 37.469154; -121.71215, 37.469154; -121.71215, 37.193164","San Jose, CA",San Jose, CA,12/16/14 11:08 PM,1418771325
Polygon,"-122.035311, 37.193164; -122.035311, 37.469154; -121.71215, 37.469154; -121.71215, 37.193164","San Jose, CA",San Jose, CA,12/17/14 5:13 AM,1418793223
Polygon,"-66.125093, 18.29645; -66.125093, 18.471881; -65.991643, 18.471881; -65.991643, 18.29645","San Juan, Puerto Rico",San Juan, Puerto Rico,12/16/14 12:39 AM,1418690380
Polygon,"-122.355038, 37.512648; -122.355038, 37.592395; -122.275805, 37.592395; -122.275805, 37.512648","San Mateo, CA",San Mateo, CA,12/17/14 3:00 PM,1418828419
Polygon,"-122.004255, 37.721286; -122.004255, 37.795164; -121.8789037, 37.795164; -121.8789037, 37.721286","San Ramon, CA",San Ramon, CA,12/17/14 10:44 AM,1418813079
Polygon,"-111.960775, 33.4358637; -111.960775, 33.842816; -111.756022, 33.842816; -111.756022, 33.4358637","Scottsdale, AZ",Scottsdale, AZ,12/16/14 3:28 PM,1418743722
Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154","Seattle, WA",Seattle, WA,12/16/14 6:31 PM,1418754678
Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154","Seattle, WA",Seattle, WA,12/16/14 6:36 PM,1418754987
Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154","Seattle, WA",Seattle, WA,12/16/14 7:00 PM,1418756453
Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154","Seattle, WA",Seattle, WA,12/16/14 7:18 PM,1418757492
Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154","Seattle, WA",Seattle, WA,12/16/14 9:51 PM,1418766710
Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154","Seattle, WA",Seattle, WA,12/17/14 12:30 AM,1418776230
Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154","Seattle, WA",Seattle, WA,12/17/14 7:53 AM,1418802783
Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154","Seattle, WA",Seattle, WA,12/17/14 2:20 PM,1418826042
Polygon,"-122.436232, 47.4953154; -122.436232, 47.734561; -122.2249728, 47.734561; -122.2249728, 47.4953154","Seattle, WA",Seattle, WA,12/17/14 2:52 PM,1418827956
Polygon,"-71.134552, 42.3727525; -71.134552, 42.418052; -71.072892, 42.418052; -71.072892, 42.3727525","Somerville, MA",Somerville, MA,12/17/14 2:56 PM,1418828177
Polygon,"-83.319904, 42.442178; -83.319904, 42.517441; -83.200639, 42.517441; -83.200639, 42.442178","Southfield, MI",Southfield, MI,12/17/14 1:50 PM,1418824203
Polygon,"-83.319904, 42.442178; -83.319904, 42.517441; -83.200639, 42.517441; -83.200639, 42.442178","Southfield, MI",Southfield, MI,12/17/14 1:52 PM,1418824354
Polygon,"-83.319904, 42.442178; -83.319904, 42.517441; -83.200639, 42.517441; -83.200639, 42.442178","Southfield, MI",Southfield, MI,12/17/14 2:21 PM,1418826062
