country_code,location_coord_type,location_coords,location_displayname,City,State,posted_time ,epoch_time
United States,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811","Philadelphia, PA",Philadelphia, PA,12/17/2014 14:56,1418828176
United States,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811","Philadelphia, PA",Philadelphia, PA,12/17/2014 14:57,1418828279
United States,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811","Philadelphia, PA",Philadelphia, PA,12/17/2014 15:01,1418828488
United States,Polygon,"-112.3239143, 33.29026; -112.3239143, 33.8154652; -111.9254391, 33.8154652; -111.9254391, 33.29026","Phoenix, AZ",Phoenix, AZ,12/17/2014 1:30,1418779822
United States,Polygon,"-112.3239143, 33.29026; -112.3239143, 33.8154652; -111.9254391, 33.8154652; -111.9254391, 33.29026","Phoenix, AZ",Phoenix, AZ,12/17/2014 5:48,1418795330
United States,Polygon,"-112.3239143, 33.29026; -112.3239143, 33.8154652; -111.9254391, 33.8154652; -111.9254391, 33.29026","Phoenix, AZ",Phoenix, AZ,12/17/2014 14:50,1418827828
United States,Polygon,"-82.797752, 39.841431; -82.797752, 39.939034; -82.684335, 39.939034; -82.684335, 39.841431","Pickerington, OH",Pickerington, OH,12/16/2014 18:50,1418755831
United States,Polygon,"-82.797752, 39.841431; -82.797752, 39.939034; -82.684335, 39.939034; -82.684335, 39.841431","Pickerington, OH",Pickerington, OH,12/16/2014 21:54,1418766844
United States,Polygon,"-80.334244, 25.643799; -80.334244, 25.691639; -80.279685, 25.691639; -80.279685, 25.643799","Pinecrest, FL",Pinecrest, FL,12/17/2014 14:07,1418825257
United States,Polygon,"-80.095586, 40.3615796; -80.095586, 40.501198; -79.8657933, 40.501198; -79.8657933, 40.3615796","Pittsburgh, PA",Pittsburgh, PA,12/16/2014 16:39,1418747946
United States,Polygon,"-80.095586, 40.3615796; -80.095586, 40.501198; -79.8657933, 40.501198; -79.8657933, 40.3615796","Pittsburgh, PA",Pittsburgh, PA,12/16/2014 19:45,1418759159
United States,Polygon,"-80.095586, 40.3615796; -80.095586, 40.501198; -79.8657933, 40.501198; -79.8657933, 40.3615796","Pittsburgh, PA",Pittsburgh, PA,12/16/2014 19:48,1418759302
United States,Polygon,"-80.095586, 40.3615796; -80.095586, 40.501198; -79.8657933, 40.501198; -79.8657933, 40.3615796","Pittsburgh, PA",Pittsburgh, PA,12/17/2014 3:19,1418786368
United States,Polygon,"-79.985697, 40.3164361; -79.985697, 40.344964; -79.9369002, 40.344964; -79.9369002, 40.3164361","Pleasant Hills, PA",Pleasant Hills, PA,12/16/2014 20:53,1418763198
United States,Polygon,"-75.160057, 40.368676; -75.160057, 40.4034039; -75.121583, 40.4034039; -75.121583, 40.368676","Plumsteadville, PA",Plumsteadville, PA,12/17/2014 14:50,1418827847
United States,Polygon,"-93.556704, 44.978417; -93.556704, 45.0729; -93.400552, 45.0729; -93.400552, 44.978417","Plymouth, MN",Plymouth, MN,12/17/2014 14:41,1418827299
United States,Polygon,"-117.834663, 34.0182828; -117.834663, 34.1126181; -117.7111706, 34.1126181; -117.7111706, 34.0182828","Pomona, CA",Pomona, CA,12/16/2014 2:52,1418698323
United States,Polygon,"-80.1955611, 26.206136; -80.1955611, 26.2976539; -80.0817297, 26.2976539; -80.0817297, 26.206136","Pompano Beach, FL",Pompano Beach, FL,12/16/2014 1:53,1418694783
United States,Polygon,"-81.338145, 32.007509; -81.338145, 32.191443; -81.197739, 32.191443; -81.197739, 32.007509","Pooler, GA",Pooler, GA,12/17/2014 14:52,1418827941
United States,Polygon,"-95.328172, 30.063898; -95.328172, 30.15472; -95.190844, 30.15472; -95.190844, 30.063898","Porter, TX",Porter, TX,12/16/2014 15:01,1418742083
United States,Polygon,"-122.7900653, 45.421863; -122.7900653, 45.6509405; -122.471751, 45.6509405; -122.471751, 45.421863","Portland, OR",Portland, OR,12/17/2014 15:08,1418828916
United States,Polygon,"-122.7900653, 45.421863; -122.7900653, 45.6509405; -122.471751, 45.6509405; -122.471751, 45.421863","Portland, OR",Portland, OR,12/17/2014 15:09,1418828998
United States,Polygon,"-76.420402, 36.786146; -76.420402, 36.897382; -76.291434, 36.897382; -76.291434, 36.786146","Portsmouth, VA",Portsmouth, VA,12/17/2014 6:09,1418796579
United States,Polygon,"-85.651377, 38.306499; -85.651377, 38.37368; -85.525278, 38.37368; -85.525278, 38.306499","Prospect, KY",Prospect, KY,12/17/2014 14:54,1418828083
United States,Polygon,"-111.740949, 40.18565; -111.740949, 40.311641; -111.602629, 40.311641; -111.602629, 40.18565","Provo, UT",Provo, UT,12/16/2014 4:57,1418705847
United States,Polygon,"-67.998752, 17.83151; -67.998752, 18.568; -65.168504, 18.568; -65.168504, 17.83151","Puerto Rico, US",Puerto Rico, US,12/16/2014 0:45,1418690755
United States,Polygon,"-73.962582, 40.541722; -73.962582, 40.8000371; -73.699793, 40.8000371; -73.699793, 40.541722","Queens, NY",Queens, NY,12/16/2014 2:22,1418696566
United States,Polygon,"-73.962582, 40.541722; -73.962582, 40.8000371; -73.699793, 40.8000371; -73.699793, 40.541722","Queens, NY",Queens, NY,12/16/2014 3:13,1418699632
United States,Polygon,"-73.962582, 40.541722; -73.962582, 40.8000371; -73.699793, 40.8000371; -73.699793, 40.541722","Queens, NY",Queens, NY,12/16/2014 3:30,1418700630
United States,Polygon,"-73.962582, 40.541722; -73.962582, 40.8000371; -73.699793, 40.8000371; -73.699793, 40.541722","Queens, NY",Queens, NY,12/16/2014 14:50,1418741434
United States,Polygon,"-73.962582, 40.541722; -73.962582, 40.8000371; -73.699793, 40.8000371; -73.699793, 40.541722","Queens, NY",Queens, NY,12/16/2014 23:08,1418771298
United States,Polygon,"-73.962582, 40.541722; -73.962582, 40.8000371; -73.699793, 40.8000371; -73.699793, 40.541722","Queens, NY",Queens, NY,12/17/2014 14:58,1418828296
United States,Polygon,"-87.877863, 42.677972; -87.877863, 42.799314; -87.770388, 42.799314; -87.770388, 42.677972","Racine, WI",Racine, WI,12/17/2014 15:09,1418828965
United States,Polygon,"-74.305281, 40.592141; -74.305281, 40.627526; -74.255435, 40.627526; -74.255435, 40.592141","Rahway, NJ",Rahway, NJ,12/16/2014 23:08,1418771295
United States,Polygon,"-78.818343, 35.7158045; -78.818343, 35.9718611; -78.497331, 35.9718611; -78.497331, 35.7158045","Raleigh, NC",Raleigh, NC,12/17/2014 14:16,1418825767
United States,Polygon,"-78.818343, 35.7158045; -78.818343, 35.9718611; -78.497331, 35.9718611; -78.497331, 35.7158045","Raleigh, NC",Raleigh, NC,12/17/2014 14:51,1418827865
United States,Polygon,"-78.818343, 35.7158045; -78.818343, 35.9718611; -78.497331, 35.9718611; -78.497331, 35.7158045","Raleigh, NC",Raleigh, NC,12/17/2014 15:03,1418828592
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/16/2014 4:39,1418704788
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/16/2014 13:52,1418737931
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/16/2014 21:16,1418764593
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/16/2014 23:12,1418771521
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/2014 1:24,1418779441
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/2014 4:34,1418790858
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/2014 4:46,1418791605
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/2014 4:47,1418791635
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/2014 12:51,1418820695
United States,Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/2014 14:37,1418827037
United States,Polygon,"-80.4469693, 25.595373; -80.4469693, 25.626356; -80.4092952, 25.626356; -80.4092952, 25.595373","Richmond West, FL",Richmond West, FL,12/16/2014 4:20,1418703601
United States,Polygon,"-82.369079, 27.755502; -82.369079, 27.899232; -82.2443655, 27.899232; -82.2443655, 27.755502","Riverview, FL",Riverview, FL,12/16/2014 1:15,1418692559
United States,Polygon,"-82.369079, 27.755502; -82.369079, 27.899232; -82.2443655, 27.899232; -82.2443655, 27.755502","Riverview, FL",Riverview, FL,12/17/2014 14:56,1418828175
United States,Polygon,"-81.086454, 34.8691508; -81.086454, 34.9619861; -80.9430979, 34.9619861; -80.9430979, 34.8691508","Rock Hill, SC",Rock Hill, SC,12/16/2014 13:30,1418736656
United States,Polygon,"-81.086454, 34.8691508; -81.086454, 34.9619861; -80.9430979, 34.9619861; -80.9430979, 34.8691508","Rock Hill, SC",Rock Hill, SC,12/17/2014 12:52,1418820767
United States,Polygon,"-117.457382, 33.966021; -117.457382, 34.034229; -117.367428, 34.034229; -117.367428, 33.966021","Rubidoux, CA",Rubidoux, CA,12/16/2014 4:00,1418702434
United States,Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/16/2014 0:55,1418691351
United States,Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/17/2014 3:19,1418786361
United States,Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/17/2014 3:26,1418786780
United States,Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/17/2014 7:08,1418800097
United States,Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/17/2014 14:21,1418826087
United States,Polygon,"-78.762082, 42.146853; -78.762082, 42.174409; -78.6832, 42.174409; -78.6832, 42.146853","Salamanca, NY",Salamanca, NY,12/17/2014 5:25,1418793947
United States,Polygon,"-98.778559, 29.141956; -98.778559, 29.693046; -98.302744, 29.693046; -98.302744, 29.141956","San Antonio, TX",San Antonio, TX,12/17/2014 15:11,1418829092
United States,Polygon,"-117.282538, 32.53962; -117.282538, 33.0804044; -116.9274403, 33.0804044; -116.9274403, 32.53962","San Diego, CA",San Diego, CA,12/16/2014 5:52,1418709166
United States,Polygon,"-117.282538, 32.53962; -117.282538, 33.0804044; -116.9274403, 33.0804044; -116.9274403, 32.53962","San Diego, CA",San Diego, CA,12/16/2014 17:18,1418750311
